ticker,name,exchange,sector,industry,scalemarketcap,scalerevenue,location
NVR,Nvr Inc,NYSE,Consumer Cyclical,Residential Construction,5 - Large,4 - Mid,Virginia; U.S.A
NWL,Newell Brands Inc,NASDAQ,Consumer Defensive,Household & Personal Products,5 - Large,5 - Large,Georgia U.S.A.
NWSA,News Corp,NASDAQ,Consumer Cyclical,Broadcasting,5 - Large,5 - Large,New York; U.S.A
O,Realty Income Corp,NYSE,Real Estate,REIT - Retail,5 - Large,3 - Small,California; U.S.A
ODFL,Old Dominion Freight Line Inc,NASDAQ,Industrials,Trucking,5 - Large,4 - Mid,North Carolina; U.S.A
OKE,Oneok Inc,NYSE,Energy,Oil & Gas Midstream,5 - Large,5 - Large,Oklahoma; U.S.A
OMC,Omnicom Group Inc,NYSE,Consumer Cyclical,Advertising Agencies,5 - Large,5 - Large,New York; U.S.A
ORCL,Oracle Corp,NYSE,Technology,Software - Infrastructure,6 - Mega,5 - Large,California; U.S.A
ORLY,O Reilly Automotive Inc,NASDAQ,Consumer Cyclical,Specialty Retail,5 - Large,5 - Large,Missouri; U.S.A
OTIS,Otis Worldwide Corp,NYSE,Industrials,Specialty Industrial Machinery,5 - Large,5 - Large,Connecticut; U.S.A
OXY,Occidental Petroleum Corp,NYSE,Energy,Oil & Gas E&P,5 - Large,5 - Large,Texas; U.S.A
PAYC,Paycom Software Inc,NYSE,Technology,Software - Application,5 - Large,3 - Small,Oklahoma; U.S.A
PAYX,Paychex Inc,NASDAQ,Industrials,Staffing & Employment Services,5 - Large,4 - Mid,New York; U.S.A
PBCT,People's United Financial Inc,NASDAQ,Financial Services,Banks - Regional,4 - Mid,3 - Small,Connecticut; U.S.A
PCAR,Paccar Inc,NASDAQ,Industrials,Farm & Heavy Construction Machinery,5 - Large,5 - Large,Washington; U.S.A
PEAK,Healthpeak Properties Inc,NYSE,Real Estate,REIT - Healthcare Facilities,5 - Large,4 - Mid,California; U.S.A
PEG,Public Service Enterprise Group Inc,NYSE,Utilities,Utilities - Diversified,5 - Large,5 - Large,New Jersey; U.S.A
PEP,Pepsico Inc,NASDAQ,Consumer Defensive,Beverages - Non-Alcoholic,6 - Mega,5 - Large,New York; U.S.A
PFE,Pfizer Inc,NYSE,Healthcare,Drug Manufacturers - General,6 - Mega,5 - Large,New York; U.S.A
PFG,Principal Financial Group Inc,NASDAQ,Financial Services,Insurance - Diversified,5 - Large,5 - Large,Iowa; U.S.A
PG,PROCTER & GAMBLE Co,NYSE,Consumer Defensive,Household & Personal Products,6 - Mega,5 - Large,Ohio; U.S.A
PGR,Progressive Corp,NYSE,Financial Services,Insurance - Property & Casualty,5 - Large,5 - Large,Ohio; U.S.A
PH,Parker Hannifin Corp,NYSE,Industrials,Specialty Industrial Machinery,5 - Large,5 - Large,Ohio; U.S.A
PHM,Pultegroup Inc,NYSE,Consumer Cyclical,Residential Construction,5 - Large,5 - Large,Georgia U.S.A.
PKG,Packaging Corp Of America,NYSE,Consumer Cyclical,Packaging & Containers,5 - Large,4 - Mid,Illinois; U.S.A
PKI,Perkinelmer Inc,NYSE,Healthcare,Diagnostics & Research,5 - Large,4 - Mid,Massachusetts; U.S.A
PLD,Prologis Inc,NYSE,Real Estate,REIT - Industrial,5 - Large,4 - Mid,California; U.S.A
PM,Philip Morris International Inc,NYSE,Consumer Defensive,Tobacco,5 - Large,5 - Large,New York; U.S.A
PNC,Pnc Financial Services Group Inc,NYSE,Financial Services,Banks - Regional,5 - Large,5 - Large,Pennsylvania; U.S.A
PNR,PENTAIR plc,NYSE,Industrials,Specialty Industrial Machinery,5 - Large,4 - Mid,United Kingdom
PNW,Pinnacle West Capital Corp,NYSE,Utilities,Utilities - Regulated Electric,5 - Large,4 - Mid,Arizona; U.S.A
PPG,Ppg Industries Inc,NYSE,Basic Materials,Specialty Chemicals,5 - Large,5 - Large,Pennsylvania; U.S.A
PPL,PPL Corp,NYSE,Utilities,Utilities - Regulated Electric,5 - Large,5 - Large,Pennsylvania; U.S.A
PRGO,PERRIGO Co plc,NYSE,Healthcare,Drug Manufacturers - Specialty & Generic,5 - Large,4 - Mid,Ireland
PRU,Prudential Financial Inc,NYSE,Financial Services,Insurance - Life,5 - Large,5 - Large,New Jersey; U.S.A
PSA,Public Storage,NYSE,Real Estate,REIT - Industrial,5 - Large,4 - Mid,California; U.S.A
PSX,Phillips 66,NYSE,Energy,Oil & Gas Refining & Marketing,5 - Large,6 - Mega,Texas; U.S.A
PVH,Pvh Corp,NYSE,Consumer Cyclical,Apparel Manufacturing,5 - Large,4 - Mid,New York; U.S.A
PWR,Quanta Services Inc,NYSE,Industrials,Engineering & Construction,4 - Mid,5 - Large,Texas; U.S.A
PXD,Pioneer Natural Resources Co,NYSE,Energy,Oil & Gas E&P,5 - Large,4 - Mid,Texas; U.S.A
PYPL,PayPal Holdings Inc,NASDAQ,Financial Services,Credit Services,6 - Mega,5 - Large,California; U.S.A
QCOM,Qualcomm Inc,NASDAQ,Technology,Semiconductors,5 - Large,5 - Large,California; U.S.A
QRVO,Qorvo Inc,NASDAQ,Technology,Semiconductors,5 - Large,4 - Mid,North Carolina; U.S.A
RCL,Royal Caribbean Cruises Ltd,NYSE,Industrials,Travel Services,5 - Large,5 - Large,Florida; U.S.A
RE,Everest Re Group Ltd,NYSE,Financial Services,Insurance - Reinsurance,5 - Large,4 - Mid,Bermuda
REG,Regency Centers Corp,NASDAQ,Real Estate,REIT - Retail,5 - Large,3 - Small,Florida; U.S.A
REGN,Regeneron Pharmaceuticals Inc,NASDAQ,Healthcare,Biotechnology,5 - Large,4 - Mid,New York; U.S.A
RF,Regions Financial Corp,NYSE,Financial Services,Banks - Regional,5 - Large,4 - Mid,Alabama; U.S.A
RHI,Robert Half International Inc,NYSE,Industrials,Staffing & Employment Services,4 - Mid,4 - Mid,California; U.S.A
RJF,Raymond James Financial Inc,NYSE,Financial Services,Capital Markets,5 - Large,4 - Mid,Florida; U.S.A
RL,Ralph Lauren Corp,NYSE,Consumer Cyclical,Apparel Manufacturing,5 - Large,4 - Mid,New York; U.S.A
RMD,Resmed Inc,NYSE,Healthcare,Medical Instruments & Supplies,5 - Large,4 - Mid,California; U.S.A
ROK,Rockwell Automation Inc,NYSE,Industrials,Specialty Industrial Machinery,5 - Large,4 - Mid,Wisconsin; U.S.A
ROL,Rollins Inc,NYSE,Consumer Cyclical,Personal Services,5 - Large,4 - Mid,Georgia; U.S.A
ROP,Roper Technologies Inc,NYSE,Industrials,Specialty Industrial Machinery,5 - Large,4 - Mid,Florida; U.S.A
ROST,Ross Stores Inc,NASDAQ,Consumer Cyclical,Apparel Retail,5 - Large,5 - Large,California; U.S.A
RSG,Republic Services Inc,NYSE,Industrials,Waste Management,5 - Large,5 - Large,Arizona; U.S.A
RTX,Raytheon Technologies Corp,NYSE,Industrials,Aerospace & Defense,5 - Large,5 - Large,Massachusetts; U.S.A
SBAC,Sba Communications Corp,NASDAQ,Real Estate,REIT - Specialty,5 - Large,4 - Mid,Florida; U.S.A
SBUX,Starbucks Corp,NASDAQ,Consumer Cyclical,Restaurants,5 - Large,5 - Large,Washington; U.S.A
SCHW,Schwab Charles Corp,NYSE,Financial Services,Capital Markets,5 - Large,5 - Large,California; U.S.A
SEE,Sealed Air Corp,NYSE,Consumer Cyclical,Packaging & Containers,5 - Large,4 - Mid,North Carolina; U.S.A
SHW,Sherwin Williams Co,NYSE,Basic Materials,Specialty Chemicals,5 - Large,5 - Large,Ohio; U.S.A
SIVB,Svb Financial Group,NASDAQ,Financial Services,Banks - Regional,5 - Large,4 - Mid,California; U.S.A
SJM,J M SMUCKER Co,NYSE,Consumer Defensive,Packaged Foods,5 - Large,4 - Mid,Ohio; U.S.A
SLB,Schlumberger Limited,NYSE,Energy,Oil & Gas Equipment & Services,5 - Large,5 - Large,Texas; U.S.A
SLG,Sl Green Realty Corp,NYSE,Real Estate,REIT - Office,5 - Large,3 - Small,New York; U.S.A
SNA,Snap-on Inc,NYSE,Industrials,Tools & Accessories,5 - Large,4 - Mid,Wisconsin; U.S.A
SNPS,Synopsys Inc,NASDAQ,Technology,Software - Infrastructure,5 - Large,4 - Mid,California; U.S.A
SO,Southern Co,NYSE,Utilities,Utilities - Regulated Electric,5 - Large,5 - Large,Georgia; U.S.A
SPG,Simon Property Group Inc,NYSE,Real Estate,REIT - Retail,5 - Large,4 - Mid,Indiana; U.S.A
SPGI,S&P Global Inc,NYSE,Financial Services,Financial Data & Stock Exchanges,5 - Large,4 - Mid,New York; U.S.A
SRE,Sempra Energy,NYSE,Utilities,Utilities - Diversified,5 - Large,5 - Large,California; U.S.A
STE,STERIS plc,NYSE,Healthcare,Medical Instruments & Supplies,5 - Large,4 - Mid,Ireland
STT,State Street Corp,NYSE,Financial Services,Asset Management,5 - Large,5 - Large,Massachusetts; U.S.A
STX,Seagate Technology plc,NASDAQ,Technology,Computer Hardware,5 - Large,5 - Large,Ireland
STZ,Constellation Brands Inc,NYSE,Consumer Defensive,Beverages - Wineries & Distilleries,5 - Large,4 - Mid,New York; U.S.A
SWK,Stanley Black & Decker Inc,NYSE,Industrials,Tools & Accessories,5 - Large,5 - Large,Connecticut; U.S.A
SWKS,Skyworks Solutions Inc,NASDAQ,Technology,Semiconductors,5 - Large,4 - Mid,California; U.S.A
SYF,Synchrony Financial,NYSE,Financial Services,Credit Services,5 - Large,4 - Mid,Connecticut; U.S.A
SYK,Stryker Corp,NYSE,Healthcare,Medical Devices,5 - Large,5 - Large,Michigan; U.S.A
SYY,Sysco Corp,NYSE,Consumer Defensive,Food Distribution,5 - Large,5 - Large,Texas; U.S.A
T,At&T Inc,NYSE,Communication Services,Telecom Services,6 - Mega,5 - Large,Texas; U.S.A
TAP,Molson Coors Beverage Co,NYSE,Consumer Defensive,Beverages - Brewers,5 - Large,5 - Large,Colorado; U.S.A
TDG,TransDigm Group INC,NYSE,Industrials,Aerospace & Defense,5 - Large,4 - Mid,Ohio; U.S.A
TDY,Teledyne Technologies Inc,NYSE,Technology,Scientific & Technical Instruments,5 - Large,4 - Mid,California; U.S.A
TEL,TE Connectivity Ltd,NYSE,Technology,Electronic Components,5 - Large,5 - Large,Switzerland
TER,Teradyne Inc,NASDAQ,Technology,Semiconductor Equipment & Materials,5 - Large,4 - Mid,Massachusetts; U.S.A
TFC,Truist Financial Corp,NYSE,Financial Services,Banks - Regional,5 - Large,5 - Large,North Carolina; U.S.A
TFX,Teleflex Inc,NYSE,Healthcare,Medical Instruments & Supplies,5 - Large,4 - Mid,Pennsylvania; U.S.A
TGT,Target Corp,NYSE,Consumer Defensive,Discount Stores,5 - Large,5 - Large,Minnesota; U.S.A
TIF,Tiffany & Co,NYSE,Consumer Cyclical,Luxury Goods,5 - Large,4 - Mid,New York; U.S.A
TJX,Tjx Companies Inc,NYSE,Consumer Cyclical,Apparel Retail,5 - Large,5 - Large,Massachusetts; U.S.A
TMO,Thermo Fisher Scientific Inc,NYSE,Healthcare,Diagnostics & Research,5 - Large,5 - Large,Massachusetts; U.S.A
TMUS,T-Mobile US Inc,NASDAQ,Communication Services,Telecom Services,5 - Large,5 - Large,Washington; U.S.A
TPR,Tapestry Inc,NYSE,Consumer Cyclical,Luxury Goods,5 - Large,4 - Mid,New York; U.S.A
TROW,Price T Rowe Group Inc,NASDAQ,Financial Services,Asset Management,5 - Large,4 - Mid,Maryland; U.S.A
TRV,Travelers Companies Inc,NYSE,Financial Services,Insurance - Property & Casualty,5 - Large,5 - Large,Minnesota; U.S.A
TSCO,Tractor Supply Co,NASDAQ,Consumer Cyclical,Specialty Retail,5 - Large,4 - Mid,Tennessee; U.S.A
TSN,Tyson Foods Inc,NYSE,Consumer Defensive,Farm Products,5 - Large,5 - Large,Arkansas; U.S.A
TT,Trane Technologies plc,NYSE,Industrials,Specialty Industrial Machinery,5 - Large,5 - Large,Ireland
TTWO,Take Two Interactive Software Inc,NASDAQ,Technology,Electronic Gaming & Multimedia,5 - Large,4 - Mid,New York; U.S.A
TWTR,Twitter Inc,NYSE,Technology,Internet Content & Information,5 - Large,4 - Mid,California; U.S.A
TXN,Texas Instruments Inc,NASDAQ,Technology,Semiconductors,5 - Large,5 - Large,Texas; U.S.A
TXT,Textron Inc,NYSE,Industrials,Aerospace & Defense,5 - Large,5 - Large,Rhode Island; U.S.A
TYL,Tyler Technologies Inc,NYSE,Technology,Software - Application,5 - Large,3 - Small,Texas; U.S.A
UAA,Under Armour Inc,NYSE,Consumer Cyclical,Apparel Manufacturing,5 - Large,4 - Mid,Maryland; U.S.A
UAL,United Airlines Holdings Inc,NASDAQ,Industrials,Airlines,5 - Large,5 - Large,Illinois; U.S.A
UDR,UDR Inc,NYSE,Real Estate,REIT - Residential,5 - Large,3 - Small,Colorado; U.S.A
UHS,Universal Health Services Inc,NYSE,Healthcare,Medical Care Facilities,5 - Large,5 - Large,Pennsylvania; U.S.A
ULTA,Ulta Beauty Inc,NASDAQ,Consumer Cyclical,Specialty Retail,5 - Large,4 - Mid,Illinois; U.S.A
UNH,Unitedhealth Group Inc,NYSE,Healthcare,Healthcare Plans,6 - Mega,6 - Mega,Minnesota; U.S.A
UNM,Unum Group,NYSE,Financial Services,Insurance - Life,5 - Large,5 - Large,Tennessee; U.S.A
UNP,Union Pacific Corp,NYSE,Industrials,Railroads,5 - Large,5 - Large,Nebraska; U.S.A
UPS,United Parcel Service Inc,NYSE,Industrials,Integrated Freight & Logistics,5 - Large,5 - Large,Georgia; U.S.A
URI,United Rentals Inc,NYSE,Industrials,Rental & Leasing Services,5 - Large,4 - Mid,Connecticut; U.S.A
USB,Us Bancorp,NYSE,Financial Services,Banks - Regional,5 - Large,5 - Large,Minnesota; U.S.A
V,Visa Inc,NYSE,Financial Services,Credit Services,6 - Mega,5 - Large,California; U.S.A
VAR,Varian Medical Systems Inc,NYSE,Healthcare,Medical Instruments & Supplies,5 - Large,4 - Mid,California; U.S.A
VFC,V F Corp,NYSE,Consumer Cyclical,Apparel Manufacturing,5 - Large,5 - Large,Colorado; U.S.A
VIAC,ViacomCBS Inc,NASDAQ,Consumer Cyclical,Entertainment,5 - Large,5 - Large,New York; U.S.A
VLO,Valero Energy Corp,NYSE,Energy,Oil & Gas Refining & Marketing,5 - Large,5 - Large,Texas; U.S.A
VMC,Vulcan Materials CO,NYSE,Basic Materials,Building Materials,5 - Large,4 - Mid,Alabama; U.S.A
VNO,Vornado Realty Trust,NYSE,Real Estate,REIT - Office,5 - Large,4 - Mid,New York; U.S.A
VNT,Vontier Corp,NYSE,Industrials,Electrical Equipment & Parts,4 - Mid,4 - Mid,Washington; U.S.A
VRSK,Verisk Analytics Inc,NASDAQ,Industrials,Consulting Services,5 - Large,4 - Mid,New Jersey; U.S.A
VRSN,Verisign Inc,NASDAQ,Technology,Software - Infrastructure,5 - Large,3 - Small,Virginia; U.S.A
VRTX,Vertex Pharmaceuticals Inc,NASDAQ,Healthcare,Biotechnology,5 - Large,4 - Mid,Massachusetts; U.S.A
VTR,Ventas Inc,NYSE,Real Estate,REIT - Healthcare Facilities,5 - Large,4 - Mid,Illinois; U.S.A
VZ,Verizon Communications Inc,NYSE,Communication Services,Telecom Services,6 - Mega,5 - Large,New York; U.S.A
WAB,Westinghouse Air Brake Technologies Corp,NYSE,Industrials,Railroads,5 - Large,4 - Mid,Pennsylvania; U.S.A
WAT,Waters Corp,NYSE,Healthcare,Diagnostics & Research,5 - Large,4 - Mid,Massachusetts; U.S.A
